Timestamps,Time,Visitors, Page Views, Transactions,Seasonality,Notable Events
04/06/2023,18:30:00,1300,5800,59,Spring,New Collection
05/06/2023,16:00:00,1250,5700,57,Winter,Sale
06/06/2023,08:00:00,1150,5300,55,Spring,Sale
07/06/2023,14:00:00,1050,5000,51,Spring,New Collection
08/06/2023,14:30:00,1000,4800,49,Winter,Sale
09/06/2023,08:00:00,900,4500,46,Summer,
10/06/2023,08:30:00,950,4800,48,Summer,New Collection
11/06/2023,13:30:00,1100,5200,53,Spring,
12/06/2023,10:00:00,1200,5500,56,Spring,New Collection
13/06/2023,14:30:00,1300,5800,59,Summer,New Collection
14/06/2023,20:00:00,1250,5700,57,Spring,
15/06/2023,14:00:00,1150,5300,55,Summer,Sale
16/06/2023,19:30:00,1050,5000,51,Summer,New Collection
17/06/2023,08:30:00,1000,4800,49,Winter,Sale
18/06/2023,19:00:00,900,4500,46,Summer,Sale
19/06/2023,12:30:00,950,4800,48,Summer,
20/06/2023,20:00:00,1100,5200,53,Summer,
21/06/2023,19:00:00,1200,5500,56,Summer,
22/06/2023,18:00:00,1300,5800,59,Spring,
23/06/2023,13:00:00,950,4800,48,Summer,
24/06/2023,13:30:00,1150,5300,55,Spring,
25/06/2023,09:30:00,1050,5000,51,Summer,Sale
26/06/2023,20:00:00,1000,4800,49,Summer,New Collection
27/06/2023,08:00:00,900,4500,46,Summer,New Collection
28/06/2023,20:00:00,950,4800,48,Spring,Sale
29/06/2023,18:30:00,1100,5200,53,Winter,New Collection
30/06/2023,12:30:00,1200,5500,510,Spring,New Collection
